titleThai,titleEnglish,genre,CEFR,thai,english
,A Day at an Amusement Park,monologue,A1,,
,A Day at the Zoo,monologue,A1,,
,A Day in the Countryside,monologue,A1,,
,Asking for Directions,dialogue,A1,,
,Asking for Help at the Airport,dialogue,A1,,
,Asking for Wi-Fi Access,dialogue,A1,,
,At the Dentist,dialogue,A1,,
,Baking Cookies,monologue,A1,,
,Booking a Hotel Room,dialogue,A1,,
,Checking into a Hotel,dialogue,A1,,
,Cleaning My Room,monologue,A1,,
,Dangerous Aspects of Social Media,technology,A1,,
,Desert Oases,science,A1,,
,Discussing an Allergy,dialogue,A1,,
,Do Animals Have Personalities?,psychology,A1,,
,Earthquakes,science,A1,,
,First Aid Kits,health,A1,,
,Flying Cars,science fiction,A1,,
,Getting a Haircut,dialogue,A1,,
,Healthy Eating,health,A1,,
,Is Breakfast Important?,health,A1,,
,Learning New Vocabulary,monologue,A1,,
,Life on Mars,science fiction,A1,,
,Lofoten,travel,A1,,
,Magnets in Everyday Life,technology,A1,,
,Metropolis,science fiction,A1,,
ห้องเรียนของฉัน,My Classroom,monologue,A1,ห้องเรียนของฉันมีโต๊ะและเก้าอี้มากมาย นักเรียนทุกคนนั่งที่เก้าอี้ โต๊ะของฉันเล็กแต่สะอาด กระดานอยู่ข้างหน้า คุณครูยืนที่กระดานและสอนหนังสือ นักเรียนฟังและเขียนในสมุด ห้องเรียนมีนาฬิกาและพัดลมด้วย ฉันชอบห้องเรียนเพราะฉันได้เรียนภาษาไทยและภาษาอังกฤษกับเพื่อนๆ,My classroom has many tables and chairs. Every student sits in a chair. My table is small but clean. The board is in the front. The teacher stands at the board and teaches. The students listen and write in notebooks. The classroom also has a clock and a fan. I like my classroom because I learn Thai and English with my friends.
,My Favorite City,monologue,A1,,
,My Favorite Food,monologue,A1,,
,My Favorite Hobby,monologue,A1,,
,My First Cooking Attempt,monologue,A1,,
,My Home,monologue,A1,,
,My Morning Commute,monologue,A1,,
,My Morning Routine,monologue,A1,,
,My Neighborhood,monologue,A1,,
,My Pets,monologue,A1,,
,New Year's Eve in Norway,culture,A1,,
,Nocturnal Animals,science,A1,,
,Ordering Ice Cream,dialogue,A1,,
,Packing for a Vacation,monologue,A1,,
,Political Systems of the World,politics,A1,,
,Shopping for Edible Souvenirs,dialogue,A1,,
,Shopping for Groceries,monologue,A1,,
,Simple Tips for Better Sleep,health,A1,,
,Spirited Away,fantasy,A1,,
,Staying Active Indoors,health,A1,,
,Sushi,food,A1,,
,The Airport Security Check,dialogue,A1,,
,The Bakery,dialogue,A1,,
,The Beach,dialogue,A1,,
,The Bookstore,dialogue,A1,,
,The Campsite,dialogue,A1,,
,The Cat Cafe,dialogue,A1,,
,The Convenience Store,dialogue,A1,,
,The Cursed Mirror,horror,A1,,
,The Doctor's Office,dialogue,A1,,
,The Electronics Store,dialogue,A1,,
,The First Day at a New Job,monologue,A1,,
,The Hidden Treasure,monologue,A1,,
,The Movie Theater,dialogue,A1,,
,The Pharmacy,dialogue,A1,,
,The Secret Door,monologue,A1,,
,The Solar System,science,A1,,
,The Taxi,dialogue,A1,,
,The Terrible Date,dialogue,A1,,
,The Train Station,dialogue,A1,,
,The Viking Age,history,A1,,
,Today's Weather,monologue,A1,,
,Trapped Inside,horror,A1,,
,Typically Norwegian,culture,A1,,
,Visiting a Museum,monologue,A1,,
,Visiting an Aquarium,monologue,A1,,
,What is Kindness?,psychology,A1,,
,What is Politics?,politics,A1,,
,What is Wi-Fi?,technology,A1,,
,Why Do Animals Make Us Happy?,psychology,A1,,
,Why Is Norway So Rainy?,science,A1,,
,Why Plants Need Sunlight,science,A1,,
,A Day at the Library,monologue,A2,,
,A Dinner for Two,dialogue,A2,,
,Albert Einstein,biography,A2,,
,Artificial Intelligence,technology,A2,,
,Bergen,travel,A2,,
,Blue Whales,science,A2,,
,Budget Travel Tips,travel,A2,,
,Buying Souvenirs,dialogue,A2,,
,Capsule Hotels,travel,A2,,
,City Parks,travel,A2,,
,Comfort Food,food,A2,,
,Compasses,technology,A2,,
,Conveyor Belt Sushi,food,A2,,
,Dinosaurs,science,A2,,
,Don Quixote,drama,A2,,
,Edvard Munch,biography,A2,,
,Exploring a Forest,monologue,A2,,
,Exploring Paris,monologue,A2,,
,Formal Norwegian,language,A2,,
,George Orwell,biography,A2,,
,GPS,technology,A2,,
,Hibernation,science,A2,,
,Homage to Catalonia,history,A2,,
,How Colors Affect Emotions,psychology,A2,,
,How Stars Are Born,science,A2,,
,Indian Spices,food,A2,,
,Instant Ramen,food,A2,,
,Intergalactic Communication,science fiction,A2,,
,January in Norway,culture,A2,,
,June in Norway,culture,A2,,
,London,travel,A2,,
,Madrid,travel,A2,,
,May in Norway,culture,A2,,
,Norwegian Breakfast,food,A2,,
,Norwegian Dinner,food,A2,,
,Norwegian Lunch,food,A2,,
,Norwegian Waffles,food,A2,,
,Nynorsk,language,A2,,
,October in Norway,culture,A2,,
,Oslo,travel,A2,,
,People-Watching in a Train Station,monologue,A2,,
,Pizza,food,A2,,
,Political Parties in Norway,politics,A2,,
,Preparing for an Exam,monologue,A2,,
,Recycling,technology,A2,,
,Regional Differences in Norwegian,language,A2,,
,Rome,travel,A2,,
,Self-Driving Cars,technology,A2,,
,Seoul,travel,A2,,
,September in Norway,culture,A2,,
,Shopping for Clothes,dialogue,A2,,
,Simple Pleasures,monologue,A2,,
,Smart Homes,technology,A2,,
,Street Food,food,A2,,
,Symbolism in Everyday Objects,drama,A2,,
,The Beatles,culture,A2,,
,The Grand Canyon,travel,A2,,
,The Great Wall of China,travel,A2,,
,The Lost Wallet,dialogue,A2,,
,The Mediterranean Diet,health,A2,,
,The Old City of Jerusalem,travel,A2,,
,The Post Office,dialogue,A2,,
,The Restaurant,dialogue,A2,,
,The Role of Luck in History,history,A2,,
,The Scream,culture,A2,,
,The Zombie,horror,A2,,
,Traveling Alone in Norway,monologue,A2,,
,Utopias and Dystopias,drama,A2,,
,Volcanoes,science,A2,,
,Weekend Plans,dialogue,A2,,
,Why the Sky is Blue,science,A2,,
,Why We Dream,psychology,A2,,
,A Song of Ice and Fire,fantasy,B1,,
,Animal Crossing,culture,B1,,
